模板ID,名称,品级,描述,装备类型,类型,子类型,占用格子,门派ID,五行,秘籍ID,可奇遇获取,非公开,门派内排序,使用需求,正练效果ID,逆练效果ID,继承造诣加成比例,修习类型,突破盘ID,走火入魔内伤,走火入魔受伤部位,走火入魔伤害值,走火入魔气乱,可获得内力总量,每循环获得内力,循环目标类型,循环转化类型,每循环五行变化,特定格子,通用格子,命中值,闪避值,穿透,穿透抵抗,架势提气恢复,移动速度,破绽恢复,施展速度,封穴恢复,切换武器速度,攻击速度,内功比例,气乱恢复,毒抗,准备总进度,需求身体部位,脚力消耗,提气架势总消耗,基础内功比例,内功比例变化范围,穿透值,施展时额外距离,式消耗,武器耐久消耗,移动力消耗,最适武器ID,固定最佳武器ID,受伤部位攻击比例分布,总命中,每击伤害比例分布,有攻击封穴效果,有攻击破绽效果,毒素,装备破坏几率,增加移动力类型,增加破体特性,施展时增加移动速度,施展时增加移动速度百分比,移动冷却加成,施展时增加命中,脚力减少速度,脚力增加速度,移动消耗脚力,最大跳跃距离,跳跃准备帧,可部分跳跃,跳跃距离变化帧,跳跃距离变化持续,分数加成类型,分数加成,施展时增加外功穿透抵抗,施展时增加内功穿透抵抗,施展时增加闪避,反击伤害,外伤反弹率,内伤反弹率,持续帧,反弹距离,属性加成列表,外伤步骤,内伤步骤,致命伤步骤,心神伤步骤,可能真气策略列表,额外内力分配进度,循环加成技能列表,真气策略生成概率,无效突破加成类型,正练效果,逆练效果
0,沛然诀,0,沛然诀于内力收发引化之法中另辟蹊径，纳气不吐反复调炼，所谓：“博观而约取，厚积而薄发”，功力愈用愈多，越是消耗，越显精强。,0,内功,Invalid,1,0,5,144,false,false,0,属性2=20; 属性4=40; 属性5=40; 属性80=100,106,832,1,1,10,true,"0, 1",1,100,1620,12,-1,-1,1,"0, 0, 0, 0",4,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:1, 内:1",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,,0,0,100,20,0,0,,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",30,5,"9, 15","0, 0, 0, 0, 12",,8,"0, 1, 2, 3, 16, 17, 41, 42, 43, 44, 45, 46",运用者受到的所有功法反噬伤害大幅降低,运用者受到的所有功法反噬伤害大幅降低
1,小纵跃功,0,小纵跃功乃是以连续的纵跃快速行动的粗浅轻功，虽然修习法门十分简单，但修习过程极长，非数十年寒暑不能练就，故而功法虽简，修习者却寥寥无几。,2,身法,Invalid,1,0,5,145,false,false,1,属性1=50; 属性2=50; 属性81=100,322,1048,1,2,0,false,"5, 6",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4000,6,15,0,0,20,0,0,,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,40,0,-50,"0, 0, 0, 0",36,0,72,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,,"0, 0, 0, 0, 0, 10, 10","0, 0, 0, 0, 0, 10, 10",0,0,,"0, 0, 0, 0, 0",,0,"0, 1, 2, 3, 20, 19, 41, 42, 43, 44, 45, 46",以此身法移动时，有较高的几率不消耗脚力,以此身法移动时，有较高的几率不消耗脚力
2,水火硬气功,0,“阳火为动，阴水为静，二气升降反复，则人气血不绝”。水火硬气功乃江湖绝技，需于酷暑、严寒中磨炼十载方有小成，功成之后，修习者可一时不惧刀砍、枪刺、棍打、剑击，然阴阳二气相生相克，本是世间最难调配维系之物，此功虽有奇效，却并无久力。,3,绝技,Invalid,1,0,5,146,false,false,3,属性3=50; 属性4=50; 属性82=100,1739,1740,1,2,0,false,"0, 1",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",4500,list,0,35,50,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,100,100,"100, 100, 100, 100",0,0,0,600,0,list3,"20, 20, 0, 0, 0, 0, 0","20, 20, 0, 0, 0, 0, 0",0,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3, 20, 19, 30, 31, 32",以此功法进行防御时，运用者受到的所有直接伤害大幅降低，最多可降低80%，但每次受到直接伤害后，此效果就会根据运用者所受直接伤害量下降，最低降至0%，持续直到战斗结束,以此功法进行防御时，运用者受到的所有直接伤害大幅降低，最多可降低80%，但每次受到直接伤害后，此效果就会根据运用者所受直接伤害量下降，最低降至0%，持续直到战斗结束
3,太祖长拳,0,太祖长拳共有三十二式，朴实无华，简单纯粹，虽然招式粗浅，却已含拳术至理，故而人称“百拳之母”。,1,拳掌,Invalid,1,0,5,147,false,false,2,属性0=40; 属性1=40; 属性2=20; 属性83=100,459,1185,1,8,0,false,"3, 4",1,100,0,0,-1,-1,0,"0, 0, 0, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",15000,4,0,60,50,20,240,15,式6=2,0,0,273,-1,"30, 30, 1, 20, 20, 10, 10",60,"40, 40, 20, 0",false,true,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",50,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 10, 10, 0, 0","0, 0, 0, 10, 10, 0, 0",0,0,list,"0, 0, 0, 0, 0",loopBonusSkillList,0,"0, 1, 2, 3, 20, 19, 41, 42, 43, 44, 45, 46",以此功法击败敌人时，运用者在战斗结束后获得的威望大幅提高,以此功法击败敌人时，运用者在战斗结束后获得的威望大幅提高
4,静禅功,0,“无碍清净慧，皆因禅定生”。静禅功可令修习者清静安宁，祛除心中杂思，以达到心神合一，明心见性的开悟境界。,0,内功,Invalid,1,1,5,148,true,false,0,属性2=75; 属性5=25; 属性80=100; 属性63=100,0,726,1,0,0,true,2,1,100,90,12,-1,-1,1,"0, 1, 0, 1",1,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 1",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",20,5,"0, 9","0, 3, 0, 3, 3",loopBonusSkillList,8,"16, 17",增加运用者的「少林派」功法的威力上限,降低运用者的「少林派」功法的发挥需求
5,罗汉功,1,罗汉功发于巨骨，以正阳气，可以扫除寒邪；纳于头角，以开慧眼，可以夜间视物。是由外壮而铄内劲的法门。,0,内功,Invalid,1,1,0,149,true,false,1,属性2=80; 属性3=35; 属性80=150; 属性63=150,1,727,1,2,1,false,"2, 0",1,150,180,24,0,1,1,"1, 0, 2, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:1, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,40,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",30,10,"16, 26","3, 0, 6, 0, 0","16, 19, 23, 24, 26, 28, 31, 32, 35",12,"16, 17",小幅增加运用者的「金刚」类功法的威力,降低运用者的「金刚」类功法的提气、架势消耗
6,心意气混元功,2,“心与意合，意与气合，气与力合”即心意气之混元功。混元功以平和自然之内息化作雄沉中正之外力，运功时虽心神俱寂，周身却隐隐有声。,0,内功,Invalid,1,1,0,150,true,false,2,属性2=70; 属性4=30; 属性5=30; 属性80=200; 属性63=200,2,728,2,0,2,true,"2, 0, 1",1,200,270,36,0,1,1,"0, 2, 1, 0",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:1","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",40,15,"40, 40","0, 6, 3, 0, 0","16, 19, 23, 24, 26, 28, 31, 32, 35",16,"16, 17",当运用者的内力属性为「金刚」时，降低「紫霞」类功法对运用者造成的直接伤害、反噬伤害,当运用者的内力属性为「金刚」时，降低「纯阳」类功法对运用者造成的直接伤害、反噬伤害
7,无色禅功,3,无色禅功不殆于心，无相无迹，功力看似古井不波，实则却源源不断。正是：“空无边、识无边、无所有、非想非非想”之无所有而无所不有之妙境。,0,内功,Invalid,2,1,5,151,true,false,3,属性2=100; 属性5=45; 属性80=250; 属性63=250,3,729,2,0,3,true,2,2,250,360,48,-1,-1,2,"0, 2, 3, 1",0,"0, 0, 0, 1","0, 0, 0, 2","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"0, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",50,20,"2, 11","0, 6, 9, 3, 0",loopBonusSkillList,20,"16, 17",大幅增加运用者的「定力」上限，「定力」所增加的守心会根据运用者的精纯大幅提高,大幅增加运用者的「定力」上限，「定力」所增加的动心会根据运用者的精纯大幅提高
8,菩提心修法,4,菩提心乃是一切大乘佛法之根本，亦是以禅入武之诀要。以菩提心相摄持，方能化解杀人法门之戾气，臻至佛法与武学的更高境界。,0,内功,Invalid,2,1,0,152,true,false,4,属性2=110; 属性5=50; 属性80=300; 属性63=300,4,730,3,1,4,true,2,2,300,450,60,0,1,2,"0, 2, 1, 3",0,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",0,0,0,0,0,0,0,0,"2, 0, 0, 0, 0, 0",0,list,0,0,100,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",70,25,"2, 11","0, 6, 3, 9, 0","16, 19, 23, 24, 26, 28, 31, 32, 35",24,"16, 17",将运用者的「玄阴」内力转化为「金刚」内力，转化的比例越多，运用者的「金刚」类功法的威力就提高越多；如果运用者原本没有「玄阴」内力，运用者不会被「玄阴」、「金刚」类功法命中要害,将运用者的「紫霞」内力转化为「金刚」内力，转化的比例越多，运用者的「金刚」类功法的威力就提高越多；如果运用者原本没有「紫霞」内力，运用者不会被「紫霞」、「金刚」类功法命中要害
9,杂阿含经,5,杂阿含经有千般法门，万种功力，无穷无尽。可以除魔怔，解未可解之困厄，可证一切奇思异想，悟未可悟之奥妙。,0,内功,Invalid,2,1,0,153,true,false,5,属性2=85; 属性4=35; 属性5=55; 属性80=350; 属性63=350,5,731,3,1,5,true,"2, 0, 1, 3, 4, 5, 6",2,350,540,72,0,1,2,"2, 0, 0, 2",2,"0, 0, 0, 0","0, 0, 0, 0","外:0, 内:0","外:0, 内:0","外:0, 内:0",1,1,0,0,0,0,0,0,"0, 1, 0, 0, 0, 0",0,list,0,0,60,25,0,0,list2,0,0,-1,-1,"20, 20, 1, 20, 20, 20, 20",0,"0, 0, 0, 0",false,false,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0,-1,,0,0,0,"0, 0, 0, 0",36,0,36,-1,-1,false,-1,-1,-1,0,0,0,"0, 0, 0, 0",0,0,0,0,0,list3,"0, 0, 0, 0, 0, 0, 0","0, 0, 0, 0, 0, 0, 0",90,35,"1, 10","6, 0, 0, 6, 6","16, 19, 23, 24, 26, 28, 31, 32, 35",28,"16, 17",运用者的「混元」类功法也会被视为「金刚」类功法；运用者可在施展「金刚」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，增加「金刚」类摧破功法的攻击范围,运用者的「混元」类功法也会被视为「金刚」类功法；运用者可在施展「金刚」类摧破功法的过程中，点击消耗最少5点，最多15点运用者的「护体」真气，使该功法对敌人造成的直接伤害不会因状态效果降低
